id;reportsuitename;data;hour;termo;quantidade;arquivo;createdat
1479;CB - CasasBahia.com.br;09/08/2018;3;painel para tv;0;Thu.  9 Aug. 2018 (Hour 3);2018-08-14 15:54:07.0000000
1480;CB - CasasBahia.com.br;09/08/2018;3;armÃ¡rio de cozinha;9;Thu.  9 Aug. 2018 (Hour 3);2018-08-14 15:54:07.0000000
1481;CB - CasasBahia.com.br;09/08/2018;4;celular;31;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1482;CB - CasasBahia.com.br;09/08/2018;4;guarda roupas de casal;58;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1483;CB - CasasBahia.com.br;09/08/2018;4;guarda roupa;7;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1484;CB - CasasBahia.com.br;09/08/2018;4;notebook;4;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1485;CB - CasasBahia.com.br;09/08/2018;4;iphone;6;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1486;CB - CasasBahia.com.br;09/08/2018;4;geladeira;16;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1487;CB - CasasBahia.com.br;09/08/2018;4;microondas;9;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1488;CB - CasasBahia.com.br;09/08/2018;4;sofa;0;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1489;CB - CasasBahia.com.br;09/08/2018;4;painel para tv;0;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1490;CB - CasasBahia.com.br;09/08/2018;4;armÃ¡rio de cozinha;39;Thu.  9 Aug. 2018 (Hour 4);2018-08-14 15:54:07.0000000
1491;CB - CasasBahia.com.br;09/08/2018;5;celular;23;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1492;CB - CasasBahia.com.br;09/08/2018;5;guarda roupas de casal;0;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1493;CB - CasasBahia.com.br;09/08/2018;5;guarda roupa;6;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1494;CB - CasasBahia.com.br;09/08/2018;5;notebook;13;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1495;CB - CasasBahia.com.br;09/08/2018;5;iphone;6;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1496;CB - CasasBahia.com.br;09/08/2018;5;geladeira;25;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1497;CB - CasasBahia.com.br;09/08/2018;5;microondas;5;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1498;CB - CasasBahia.com.br;09/08/2018;5;sofa;8;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1499;CB - CasasBahia.com.br;09/08/2018;5;painel para tv;0;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1500;CB - CasasBahia.com.br;09/08/2018;5;armÃ¡rio de cozinha;0;Thu.  9 Aug. 2018 (Hour 5);2018-08-14 15:54:07.0000000
1501;CB - CasasBahia.com.br;09/08/2018;6;celular;32;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1502;CB - CasasBahia.com.br;09/08/2018;6;guarda roupas de casal;43;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1503;CB - CasasBahia.com.br;09/08/2018;6;guarda roupa;10;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1504;CB - CasasBahia.com.br;09/08/2018;6;notebook;15;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1505;CB - CasasBahia.com.br;09/08/2018;6;iphone;22;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1506;CB - CasasBahia.com.br;09/08/2018;6;geladeira;10;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1507;CB - CasasBahia.com.br;09/08/2018;6;microondas;8;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1508;CB - CasasBahia.com.br;09/08/2018;6;sofa;5;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1509;CB - CasasBahia.com.br;09/08/2018;6;painel para tv;2;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1510;CB - CasasBahia.com.br;09/08/2018;6;armÃ¡rio de cozinha;10;Thu.  9 Aug. 2018 (Hour 6);2018-08-14 15:54:07.0000000
1511;CB - CasasBahia.com.br;09/08/2018;7;celular;181;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1512;CB - CasasBahia.com.br;09/08/2018;7;guarda roupas de casal;63;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1513;CB - CasasBahia.com.br;09/08/2018;7;guarda roupa;46;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1514;CB - CasasBahia.com.br;09/08/2018;7;notebook;122;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1515;CB - CasasBahia.com.br;09/08/2018;7;iphone;65;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1516;CB - CasasBahia.com.br;09/08/2018;7;geladeira;51;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1517;CB - CasasBahia.com.br;09/08/2018;7;microondas;53;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1518;CB - CasasBahia.com.br;09/08/2018;7;sofa;14;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1519;CB - CasasBahia.com.br;09/08/2018;7;painel para tv;54;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1520;CB - CasasBahia.com.br;09/08/2018;7;armÃ¡rio de cozinha;35;Thu.  9 Aug. 2018 (Hour 7);2018-08-14 15:54:07.0000000
1521;CB - CasasBahia.com.br;09/08/2018;8;celular;451;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1522;CB - CasasBahia.com.br;09/08/2018;8;guarda roupas de casal;176;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1523;CB - CasasBahia.com.br;09/08/2018;8;guarda roupa;331;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1524;CB - CasasBahia.com.br;09/08/2018;8;notebook;260;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1525;CB - CasasBahia.com.br;09/08/2018;8;iphone;266;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1526;CB - CasasBahia.com.br;09/08/2018;8;geladeira;104;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1527;CB - CasasBahia.com.br;09/08/2018;8;microondas;255;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1528;CB - CasasBahia.com.br;09/08/2018;8;sofa;151;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1529;CB - CasasBahia.com.br;09/08/2018;8;painel para tv;62;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1530;CB - CasasBahia.com.br;09/08/2018;8;armÃ¡rio de cozinha;105;Thu.  9 Aug. 2018 (Hour 8);2018-08-14 15:54:07.0000000
1531;CB - CasasBahia.com.br;09/08/2018;9;celular;676;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1532;CB - CasasBahia.com.br;09/08/2018;9;guarda roupas de casal;368;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1533;CB - CasasBahia.com.br;09/08/2018;9;guarda roupa;400;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1534;CB - CasasBahia.com.br;09/08/2018;9;notebook;446;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1535;CB - CasasBahia.com.br;09/08/2018;9;iphone;344;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1536;CB - CasasBahia.com.br;09/08/2018;9;geladeira;320;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1537;CB - CasasBahia.com.br;09/08/2018;9;microondas;321;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1538;CB - CasasBahia.com.br;09/08/2018;9;sofa;427;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1539;CB - CasasBahia.com.br;09/08/2018;9;painel para tv;155;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1540;CB - CasasBahia.com.br;09/08/2018;9;armÃ¡rio de cozinha;189;Thu.  9 Aug. 2018 (Hour 9);2018-08-14 15:54:07.0000000
1541;CB - CasasBahia.com.br;09/08/2018;10;celular;920;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1542;CB - CasasBahia.com.br;09/08/2018;10;guarda roupas de casal;518;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1543;CB - CasasBahia.com.br;09/08/2018;10;guarda roupa;384;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1544;CB - CasasBahia.com.br;09/08/2018;10;notebook;516;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1545;CB - CasasBahia.com.br;09/08/2018;10;iphone;373;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1546;CB - CasasBahia.com.br;09/08/2018;10;geladeira;484;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1547;CB - CasasBahia.com.br;09/08/2018;10;microondas;336;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1548;CB - CasasBahia.com.br;09/08/2018;10;sofa;451;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1549;CB - CasasBahia.com.br;09/08/2018;10;painel para tv;411;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1550;CB - CasasBahia.com.br;09/08/2018;10;armÃ¡rio de cozinha;209;Thu.  9 Aug. 2018 (Hour 10);2018-08-14 15:54:07.0000000
1551;CB - CasasBahia.com.br;09/08/2018;11;celular;898;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1552;CB - CasasBahia.com.br;09/08/2018;11;guarda roupas de casal;515;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1553;CB - CasasBahia.com.br;09/08/2018;11;guarda roupa;676;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1554;CB - CasasBahia.com.br;09/08/2018;11;notebook;579;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1555;CB - CasasBahia.com.br;09/08/2018;11;iphone;368;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1556;CB - CasasBahia.com.br;09/08/2018;11;geladeira;415;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1557;CB - CasasBahia.com.br;09/08/2018;11;microondas;328;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1558;CB - CasasBahia.com.br;09/08/2018;11;sofa;263;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1559;CB - CasasBahia.com.br;09/08/2018;11;painel para tv;225;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1560;CB - CasasBahia.com.br;09/08/2018;11;armÃ¡rio de cozinha;219;Thu.  9 Aug. 2018 (Hour 11);2018-08-14 15:54:07.0000000
1561;CB - CasasBahia.com.br;09/08/2018;12;celular;845;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1562;CB - CasasBahia.com.br;09/08/2018;12;guarda roupas de casal;545;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1563;CB - CasasBahia.com.br;09/08/2018;12;guarda roupa;559;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1564;CB - CasasBahia.com.br;09/08/2018;12;notebook;502;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1565;CB - CasasBahia.com.br;09/08/2018;12;iphone;408;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1566;CB - CasasBahia.com.br;09/08/2018;12;geladeira;363;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1567;CB - CasasBahia.com.br;09/08/2018;12;microondas;326;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1568;CB - CasasBahia.com.br;09/08/2018;12;sofa;333;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1569;CB - CasasBahia.com.br;09/08/2018;12;painel para tv;230;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1570;CB - CasasBahia.com.br;09/08/2018;12;armÃ¡rio de cozinha;282;Thu.  9 Aug. 2018 (Hour 12);2018-08-14 15:54:07.0000000
1571;CB - CasasBahia.com.br;09/08/2018;13;celular;811;Thu.  9 Aug. 2018 (Hour 13);2018-08-14 15:54:07.0000000
1572;CB - CasasBahia.com.br;09/08/2018;13;guarda roupas de casal;476;Thu.  9 Aug. 2018 (Hour 13);2018-08-14 15:54:07.0000000
1573;CB - CasasBahia.com.br;09/08/2018;13;guarda roupa;386;Thu.  9 Aug. 2018 (Hour 13);2018-08-14 15:54:07.0000000
1574;CB - CasasBahia.com.br;09/08/2018;13;notebook;394;Thu.  9 Aug. 2018 (Hour 13);2018-08-14 15:54:07.0000000
